id_studschoolno,subject_code,grade,instructor,semester,schoolyear
1111-1111,CC101,80,,First Semester,2018-2019
1111-1111,MMW,86,,First Semester,2018-2019
1111-1111,ENVISCI,90,,First Semester,2018-2019
1111-1111,P.E.1,96,,First Semester,2018-2019
1111-1111,JEEP1,92,,First Semester,2018-2019
1111-1111,SOCSCI 11,89,,First Semester,2018-2019
1111-1111,NSTP1,88,,First Semester,2018-2019
1111-1111,ITF1,80,,Second Semester,2018-2019
1111-1111,CC103,82,,Second Semester,2018-2019
1111-1111,STS,90,,Second Semester,2018-2019
1111-1111,PURCOMM,99,,Second Semester,2018-2019
1111-1111,JEEP2,85,,Second Semester,2018-2019
1111-1111,CC104,87,,Second Semester,2018-2019
1111-1111,P.E.2,88,,Second Semester,2018-2019
1111-1111,NSTP2,89,,Second Semester,2018-2019
1111-1111,CC105,80,,First Semester,2019-2020
1111-1111,PT101,85,,First Semester,2019-2020
1111-1111,CONWORLD,89,,First Semester,2019-2020
1111-1111,WEB,96,,First Semester,2019-2020
1111-1111,P.E.3,95,,First Semester,2019-2020
1111-1111,CC106,95,,First Semester,2019-2020
1111-1111,CC107,93,,Second Semester,2019-2020
1111-1111,CC108,92,,Second Semester,2019-2020
1111-1111,CC109,89,,Second Semester,2019-2020
1111-1111,HUM11,88,,Second Semester,2019-2020
1111-1111,ETHICS,75,,Second Semester,2019-2020
1111-1111,RVA,78,,Second Semester,2019-2020
1111-1111,P.E.4,80,,Second Semester,2019-2020
1111-1111,CC110,90,,First Semester,2020-2021
1111-1111,ITELEC1,92,,First Semester,2020-2021
1111-1111,CC111,90,,First Semester,2020-2021
1111-1111,RIZAL,98,,First Semester,2020-2021
1111-1111,HIST11,96,,First Semester,2020-2021
1111-1111,ITPROFEL1,93,,First Semester,2020-2021
1111-1111,SP101,89,,First Semester,2020-2021
1111-1111,CC112,85,,Second Semester,2020-2021
1111-1111,CC113,84,,Second Semester,2020-2021
1111-1111,ITELEC2,83,,Second Semester,2020-2021
1111-1111,SIA1,80,,Second Semester,2020-2021
1111-1111,ENTREP11,87,,Second Semester,2020-2021
1111-1111,CC114,88,,Second Semester,2020-2021
1111-1111,IPT1,100,,Second Semester,2020-2021
1111-1111,ITELEC3,85,,Summer,2020-2021
1111-1111,CAP101,89,,Summer,2020-2021
1111-1111,CC115,89,,First Semester,2021-2022
1111-1111,ITPROFEL2,90,,First Semester,2021-2022
1111-1111,ITPROFEL3,85,,First Semester,2021-2022
1111-1111,HCI11,86,,First Semester,2021-2022
1111-1111,CAP102,98,,First Semester,2021-2022
1111-1111,SEMTOUR,100,,Second Semester,2021-2022
1111-1111,PRAC101,87,,Second Semester,2021-2022
2018-0305,CC101,90,,First Semester,2018-2019
2018-0305,MMW,92,,First Semester,2018-2019
2018-0305,ENVISCI,92,,First Semester,2018-2019
2018-0305,P.E.1,98,,First Semester,2018-2019
2018-0305,JEEP1,99,,First Semester,2018-2019
2018-0305,SOCSCI 11,91,,First Semester,2018-2019
2018-0305,NSTP1,98,,First Semester,2018-2019
2018-0305,ITF1,95,,Second Semester,2018-2019
2018-0305,CC103,90,,Second Semester,2018-2019
2018-0305,STS,96,,Second Semester,2018-2019
2018-0305,PURCOMM,98,,Second Semester,2018-2019
2018-0305,JEEP2,94,,Second Semester,2018-2019
2018-0305,CC104,92,,Second Semester,2018-2019
2018-0305,P.E.2,95,,Second Semester,2018-2019
2018-0305,NSTP2,95,,Second Semester,2018-2019
2018-0305,CC105,96,,First Semester,2019-2020
2018-0305,PT101,90,,First Semester,2019-2020
2018-0305,CONWORLD,98,,First Semester,2019-2020
2018-0305,WEB,95,,First Semester,2019-2020
2018-0305,P.E.3,90,,First Semester,2019-2020
2018-0305,CC106,93,,First Semester,2019-2020
2018-0305,CC107,92,,Second Semester,2019-2020
2018-0305,CC108,91,,Second Semester,2019-2020
2018-0305,CC109,98,,Second Semester,2019-2020
2018-0305,HUM11,97,,Second Semester,2019-2020
2018-0305,ETHICS,95,,Second Semester,2019-2020
2018-0305,RVA,94,,Second Semester,2019-2020
2018-0305,P.E.4,90,,Second Semester,2019-2020
2018-0305,CC110,90,,First Semester,2020-2021
2018-0305,ITELEC1,98,,First Semester,2020-2021
2018-0305,CC111,96,,First Semester,2020-2021
